roomID,room_name,location,link
50546,정동진 바다부채길,강원 강릉시 강동면 정동진리 264-2,https://www.goodchoice.kr/product/detail?ano=50546
50550,통영 세븐,경남 통영시 광도면 죽림리 1571-20,https://www.goodchoice.kr/product/detail?ano=50550
50551,경포대 산토리니,강원 강릉시 강문동 산 4-5,https://www.goodchoice.kr/product/detail?ano=50551
50552,여주 드라이브인 호텔 숲,경기 여주시 가남읍 신해리 609-2,https://www.goodchoice.kr/product/detail?ano=50552
50553,경포의휴일 펜션,강원 강릉시 초당동 453-2,https://www.goodchoice.kr/product/detail?ano=50553
50555,전주 한옥마을 혜윰,전라북도 전주시 완산구 교동 213  　,https://www.goodchoice.kr/product/detail?ano=50555
50556,소우도 펜션,인천 옹진군 영흥면 선재리 499-31,https://www.goodchoice.kr/product/detail?ano=50556
50563,여수 테디베어스 게스트하우스,전남 여수시 고소동 796-2 　,https://www.goodchoice.kr/product/detail?ano=50563
50568,광주 호텔 Coo,광주 남구 방림동 540-21,https://www.goodchoice.kr/product/detail?ano=50568
50572,메르블루,경남 남해군 남면 선구리 1388,https://www.goodchoice.kr/product/detail?ano=50572
50574,하동 가비원,경남 하동군 화개면 탑리 674-5,https://www.goodchoice.kr/product/detail?ano=50574
50576,예산 숲속모텔,충남 예산군 덕산면 시량리 98-2,https://www.goodchoice.kr/product/detail?ano=50576
50577,보은 숲속의 하얀펜션,충북 보은군 산외면 이식리 456-5,https://www.goodchoice.kr/product/detail?ano=50577
50579,평창 펜션레이,강원 평창군 봉평면 무이리 1143,https://www.goodchoice.kr/product/detail?ano=50579
50586,명지 브라운도트,부산 강서구 명지동 1526-3,https://www.goodchoice.kr/product/detail?ano=50586
50588,탄금호 캠핑리조트,충북 충주시 중앙탑면 탑평리 137,https://www.goodchoice.kr/product/detail?ano=50588
50596,송림펜션,충남 태안군 남면 진산리 444,https://www.goodchoice.kr/product/detail?ano=50596
50599,포천 팔레스,경기 포천시 신읍동 248-2,https://www.goodchoice.kr/product/detail?ano=50599
50609,평창어울림펜션,강원 평창군 봉평면 흥정리 255-9,https://www.goodchoice.kr/product/detail?ano=50609
50611,나주 벌꿀호텔,전남 나주시 삼영동 173-2,https://www.goodchoice.kr/product/detail?ano=50611
50620,양양 파니아토,강원 양양군 손양면 동호리 1-24,https://www.goodchoice.kr/product/detail?ano=50620
50623,에버그린,충남 태안군 안면읍 승언리 1968,https://www.goodchoice.kr/product/detail?ano=50623
50629,군산 링스,전북 군산시 장미동 14-7,https://www.goodchoice.kr/product/detail?ano=50629
50630,춘천 드라이브인 호텔 초콜릿,강원 춘천시 삼천동 180-5,https://www.goodchoice.kr/product/detail?ano=50630
50632,스플라스 리솜(덕산),충남 예산군 덕산면 사동리 361,https://www.goodchoice.kr/product/detail?ano=50632
50633,아일랜드 리솜(안면도),충남 태안군 안면읍 중장리 765-81,https://www.goodchoice.kr/product/detail?ano=50633
50634,24게스트하우스 여수점,전남 여수시 공화동 657 　,https://www.goodchoice.kr/product/detail?ano=50634
50636,천호 테마,서울 강동구 천호동 354-5,https://www.goodchoice.kr/product/detail?ano=50636
50647,경주 평관헌,경상북도 경주시 진현동 651-12 2F,https://www.goodchoice.kr/product/detail?ano=50647
50650,여수 정 게스트하우스,전라남도 여수시 서교동 66-1  　,https://www.goodchoice.kr/product/detail?ano=50650
50654,이천 호텔 봄,경기 이천시 마장면 이평리 368-8,https://www.goodchoice.kr/product/detail?ano=50654
