roomID,room_name,location,link,image_link
50389,가평 리버랜드,경기 가평군 설악면 회곡리 447-4,https://www.goodchoice.kr/product/detail?ano=50389,//image.goodchoice.kr/resize_490x348/adimg_new/50389/8550/f71ed310f722d3057634116e73f5500d.jpg
50392,용인 칼리야,경기 용인시 처인구 삼가동 208-7,https://www.goodchoice.kr/product/detail?ano=50392,//image.goodchoice.kr/resize_490x348/adimg_new/50392/211858/3cb8b0e5180ba8f143390bb1029ab982.jpg
50404,신촌 호스텔 가온,서울 마포구 노고산동 31-77 　,https://www.goodchoice.kr/product/detail?ano=50404,//image.goodchoice.kr/resize_490x348/adimg_new/50404/0/df06001e683ad2388c8166e293da962f.JPG
50405,호텔 탑스텐,강원 강릉시 옥계면 금진리 92-1,https://www.goodchoice.kr/product/detail?ano=50405,//image.goodchoice.kr/resize_490x348/affiliate/2018/01/30/5a6fde3093f6a.jpg
50406,무거 투나잇,울산 남구 무거동 1521-6,https://www.goodchoice.kr/product/detail?ano=50406,//image.goodchoice.kr/resize_490x348/adimg_new/50406/324419/2ee823960ae88254b3aa78712d19b891.jpg
50411,홍대 준 게스트하우스,서울특별시 마포구 서교동 335-36 　,https://www.goodchoice.kr/product/detail?ano=50411,//image.goodchoice.kr/resize_490x348/adimg_new/50411/0/4dbbd01b700a00564493ac2335c9f7aa.jpg
50412,제주 도깨비 게스트하우스,제주특별자치도 제주시 조천읍 선흘리 1938-30 　,https://www.goodchoice.kr/product/detail?ano=50412,//image.goodchoice.kr/resize_490x348/adimg_new/50412/0/e105f32bb3961af558c3db483f7e100e.jpg
50415,영덕 리아,경북 영덕군 강구면 강구리 408,https://www.goodchoice.kr/product/detail?ano=50415,//image.goodchoice.kr/resize_490x348/adimg_new/50415/139821/7d7889bd9cecf3565bd0f81cfedbb327.jpg
50418,춘천 현대-H,강원 춘천시 효자동 685-3,https://www.goodchoice.kr/product/detail?ano=50418,//image.goodchoice.kr/resize_490x348/adimg_new/50418/141556/4ca0a1a0dfdc744ea8549ba1fb1ffe22.jpg
50421,제주 구엄543 펜션,제주특별자치도 제주시 애월읍 구엄리 543,https://www.goodchoice.kr/product/detail?ano=50421,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/05/5a77e0407949f.jpg
50425,강릉 꿈의궁전,강원 강릉시 사천면 방동리 415-3,https://www.goodchoice.kr/product/detail?ano=50425,//image.goodchoice.kr/resize_490x348/adimg_new/50425/140692/87e272da9819526136bbebb94c261829.jpg
50426,강릉 파인시티호텔,강원 강릉시 옥천동 211,https://www.goodchoice.kr/product/detail?ano=50426,//image.goodchoice.kr/resize_490x348/adimg_new/50426/141004/d010085b30dee367825306d3489473ee.jpg
50427,정동진 해안선모텔,강원 강릉시 강동면 안인진리 13-13,https://www.goodchoice.kr/product/detail?ano=50427,//image.goodchoice.kr/resize_490x348/adimg_new/50427/140900/285e4e65c7a47bde40d5c5ea2b2ec6c1.jpg
50428,경포대 드림모텔,강원 강릉시 강문동 294-1,https://www.goodchoice.kr/product/detail?ano=50428,//image.goodchoice.kr/resize_490x348/adimg_new/50428/169396/2a3dfaa2df426df75d271b94872d02f6.jpg
50431,통영 에이스호텔,경남 통영시 동호동 339-1,https://www.goodchoice.kr/product/detail?ano=50431,//image.goodchoice.kr/resize_490x348/adimg_new/50431/239241/1cecf5a7dacd4504f7a53c8bff4bbd37.jpg
50433,소래포구 폴로호텔,인천 남동구 논현동 677-3,https://www.goodchoice.kr/product/detail?ano=50433,//image.goodchoice.kr/resize_490x348/adimg_new/50433/8067/6ada71b353722303cfc810be36ae3081.jpg
50434,구미 호텔더스테이,경북 구미시 형곡동 145-34,https://www.goodchoice.kr/product/detail?ano=50434,//image.goodchoice.kr/resize_490x348/adimg_new/50434/140460/25060c4c42e9fc59d50353cfa811825b.jpg
50438,통영 그레이,경남 통영시 항남동 151-30,https://www.goodchoice.kr/product/detail?ano=50438,//image.goodchoice.kr/resize_490x348/adimg_new/50438/141114/c1b4e19cfb33b3a19f36435ae20fad33.jpg
50441,영흥도 레스테호텔,인천 옹진군 영흥면 선재리 489-3,https://www.goodchoice.kr/product/detail?ano=50441,//image.goodchoice.kr/resize_490x348/adimg_new/50441/140896/915204fe95025aa5cd3afa06440bc40a.jpg
50442,무안 휴 펜션,전남 무안군 청계면 복길리 537-1,https://www.goodchoice.kr/product/detail?ano=50442,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/02/5a74168c955f9.jpg
50448,영월 파랑새펜션,강원 영월군 김삿갓면 와석리 775,https://www.goodchoice.kr/product/detail?ano=50448,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/05/5a77fdd9329b6.jpg
50451,동성로 인썸니아,대구 중구 삼덕동1가 11-2,https://www.goodchoice.kr/product/detail?ano=50451,//image.goodchoice.kr/resize_490x348/adimg_new/50451/140284/fa868a181d1d805ef6c16be3397ec142.jpg
50452,로뎀트리 펜션,강원 삼척시 근덕면 용화리 235-22,https://www.goodchoice.kr/product/detail?ano=50452,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/02/5a73eadf1cb8d.jpg
50453,여수 더킹펜션,전남 여수시 돌산읍 평사리 331-5,https://www.goodchoice.kr/product/detail?ano=50453,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/06/5a7902a12b207.jpg
50454,송정 스페드,광주 광산구 송정동 1125-12,https://www.goodchoice.kr/product/detail?ano=50454,//image.goodchoice.kr/resize_490x348/adimg_new/50454/140708/2300887e1fffeb73bf14690fe2ad1303.jpg
50456,영등포 캡슐 호텔&게스트하우스 마중,서울 영등포구 영등포동 423-14 　,https://www.goodchoice.kr/product/detail?ano=50456,//image.goodchoice.kr/resize_490x348/adimg_new/50456/0/9bce6f91dc0010331f0008251d41a9b9.jpg
50458,진해 투하트,경남 창원시 진해구 이동 538-136,https://www.goodchoice.kr/product/detail?ano=50458,//image.goodchoice.kr/resize_490x348/adimg_new/50458/140268/2cf548778fdcfd9b1fd4d5038c748604.jpg
50459,마린 펜션 별관,경기 파주시 법원읍 직천리 471-4,https://www.goodchoice.kr/product/detail?ano=50459,//image.goodchoice.kr/resize_490x348/affiliate/2020/03/16/5e6f41297bab7.jpg
50461,계룡 S,충남 계룡시 엄사면 엄사리 178-4,https://www.goodchoice.kr/product/detail?ano=50461,//image.goodchoice.kr/resize_490x348/adimg_new/50461/141614/5aa3da430428ade1d16a7bbc5d841591.jpg
50462,증평 버디버디무인텔,충북 증평군 증평읍 남차리 538,https://www.goodchoice.kr/product/detail?ano=50462,//image.goodchoice.kr/resize_490x348/adimg_new/50462/162837/08325e59f2b1838ab60a5d021d0c899b.jpg
50463,서산 백악관,충남 서산시 읍내동 13-31,https://www.goodchoice.kr/product/detail?ano=50463,//image.goodchoice.kr/resize_490x348/adimg_new/50463/157832/288bbd92485342b342bfae735be48e85.jpg
